Jump number,Date,Time,Dropzone,Aircraft,Equipment,Type,Exit alt (ft),Time in freefall,Description
70,"Sep 14, 2023",20:39:39,"Parachute Voltige","Twin Otter","Javelin Odyssey Pulse 190 17’ Cypress 2","Freefly",14000,00:40,"Back fly, sit flying"
76,"Sep 14, 2023",21:25:14,"","","Javelin Odyssey Pulse 190 17’ Cypress 2","",,,""
